,current_location,current_work,previous_work,latest_Education,major,search_school,latitude,longitude,state,county,city,fips,current_company,previous_company,current_company_industry,previous_company_industry
0,"Dublin, Ohio, United States","Director, Cyber Security Operations & Incident Response at Diebold Nixdorf",Cyber Security Manager at Capgemini,Brown University,"Computer Science, Computer Networking and Security",Brown University,40.099229,-83.114077,Ohio,Franklin,,39049.0,Diebold Nixdorf,Capgemini,238210 Tunnel lighting contractors,"541511 Web (i.e., Internet) page design services, custom"
1,New York City  ,"Vice President of Development at TRITEC Real Estate Company, Inc.","Development Analyst at TRITEC Real Estate Company, Inc.",Georgetown University,Real Estate Development,Brown University,40.712728,-74.006015,New York,,New York,36061.0,"TRITEC Real Estate Company, Inc.","TRITEC Real Estate Company, Inc.",,
2,"San Diego County, California, United States","Strategic Advisor at Ionis Pharmaceuticals, Inc.","Vice President Of Business Development and Alliance Management at Ionis Pharmaceuticals, Inc.",1999–2001,Healthcare Management,Brown University,32.963784,-116.770628,California,San Diego,,6073.0,"Ionis Pharmaceuticals, Inc.","Ionis Pharmaceuticals, Inc.","334510 Ultrasonic scanning devices, medical, manufacturing","334510 Ultrasonic scanning devices, medical, manufacturing"
3,San Francisco Bay ,"Strategic Enterprise Solutions, International Markets Group at YourCause, Blackbaud Corporate Solutions","Partnerships & Sales, Corporate Solutions at YourCause, Blackbaud Corporate Solutions",Brown University,"Entrepreneurship, Organizations, and Social Justice",Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,"YourCause, Blackbaud Corporate Solutions","YourCause, Blackbaud Corporate Solutions",,
4,"Mesa, Arizona, United States","Senior Director, Global Enterprise Risk Management (ERM) at ON Semiconductor",Director of Global Supply Chain Planning / New Product Planning at ON Semiconductor,University of Pennsylvania - The Wharton School,Strategic Management & Planning,Brown University,33.415112,-111.831479,Arizona,Maricopa,Mesa,4013.0,ON Semiconductor,ON Semiconductor,334413 Wafers (semiconductor devices) manufacturing,334413 Wafers (semiconductor devices) manufacturing
5,"Cincinnati, Ohio, United States",Analytics Director at TNTP,"Senior Manager, Analyst at TNTP","Harvard University, John F. Kennedy School of Government",Social and Urban Policy,Brown University,39.101454,-84.51246,Ohio,Hamilton,Cincinnati,39061.0,TNTP,TNTP,"611710 Testing services, educational","611710 Testing services, educational"
6,"Miami, Florida, United States",Principal Product Manager at GE,Senior Manager - Technical Product Management at GE,Brown University,,Brown University,25.774173,-80.19362,Florida,Miami-Dade,Miami,12086.0,GE,GE,423610 Wiring supplies merchant wholesalers,423610 Wiring supplies merchant wholesalers
7,"Redwood City, California, United States","Executive Director, Cloud AI & Industry Solutions at Google","Executive Director Marketing, Google Cloud at Google",+ 1 more,Finance & Marketing,Brown University,37.486324,-122.232523,California,San Mateo,Redwood City,6081.0,Google,Google,"541512 Systems integration design services, computer","541512 Systems integration design services, computer"
8,New York City  ,"Head of Trade Marketing, Europe, Middle East, Africa & Asia at FGX International","Vice President & General Manager, NY Office at FGX International",Harvard Business School,"general management, marketing, entrepreneurship",Brown University,40.712728,-74.006015,New York,,New York,36061.0,FGX International,FGX International,"339115 Temples and fronts (i.e., eyeglass frames), ophthalmic, manufacturing","339115 Temples and fronts (i.e., eyeglass frames), ophthalmic, manufacturing"
9,Hong Kong SAR,Private Equity Associate at Baring Private Equity Asia,Investment Banking Analyst at Citi,Brown University,Applied Mathematics and Econonmics,Brown University,22.350627,114.184916,香港 Hong Kong,,,,Baring Private Equity Asia,Citi,541611 Strategic planning consulting services,522320 U.S. Central Credit Union
