,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,fips
0,"Los Angeles, California, United States","Co-Founder at Black Yeti Beverage, Inc.",Chief Brand Officer & Neuromodulation Director  at Mind & Body Treatment and Research Institute,2020–Present,Clinical Psychology,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1,"Newport Beach, California, United States",CEO at US Business Funding,"Director of app only division / Small ticket Equipment leasing & Financing at Global Finance Group, Inc.","University of California, Riverside",,"University of California, Riverside","(33.6170092, -117.9294401)",California,Orange,Newport Beach,6059
2,"San Francisco, California, United States","CEO at Empiric, Inc.",Sales at DAQRI,ArtCenter College of Design,Product Design,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
3,"Allen, Texas, United States",Co-Founder at TitaniusBots,Customer Representative & Sales II at Bank of America,"University of California, Riverside",Multi/Interdisciplinary Studies,"University of California, Riverside","(33.1031744, -96.6705503)",Texas,Collin,,48085
4,"Coppell, Texas, United States",Chief Executive Officer at Kings III Emergency Communications,"President at SoloProtect, A Division of Kings III Emergency Communications",University of Califonia Riverside,Mathmatics,"University of California, Riverside","(32.9552598, -97.0155703)",Texas,Dallas,,48113
5,"El Segundo, California, United States",Chief Executive Officer at ONYX Motorbikes,Prototyping | Design Technologist | Software Development Engineer  at Amazon Lab126,"University of California, Riverside",Arts,"University of California, Riverside","(33.917028, -118.4156337)",California,Los Angeles,,6037
6,"Olympia, Washington, United States",Founder and CEO at Townsend Security,Senior Consultant at Patrick Townsend & Associates,"University of California, Riverside","Sociology, Education","University of California, Riverside","(47.0451022, -122.8950075)",Washington,Thurston,Olympia,53067
7,Los Angeles  ,Founder & CEO at KATSH DIGITAL ID,Co-Founder at LifeNow.TV,"University of California, Riverside","Product Fit and Market Research, I-Corps Program","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
8,San Francisco Bay ,Head Of Information Technology at Guardant Health,Head Of Information Technology at Credit Karma,"University of California, Riverside",Computer Science,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
9,"Santa Monica, California, United States",Chief Executive Officer at RadiaBeam Technologies,Accelerator Engineer at SureBeam Corporation,"University of California, Los Angeles",Physics,"University of California, Riverside","(34.0194704, -118.4912273)",California,Los Angeles,Santa Monica,6037
10,"Los Angeles, California, United States",Supply Chain Manager at VS Tees,Business Consultant at 7-Eleven,University of Southern California - Marshall School of Business,Economics,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
11,,CEO at Krishnan & Associates,Senior Accountant at General Electric (GE),"University of California, Riverside",Business,"University of California, Riverside",,,,,
12,"New York, New York, United States",CEO at Runit Systems,"Co-Founder, President & CEO at Hyrian [An award winning, leading national provider of Recruitment Outsourcing services]",1987–1991,Political Science and Administrative Studies (Business Administration),"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
13,San Francisco Bay ,Vice President Digital Transformation - Technology Group at QuEST Global,Assc. Managing Director -Technology Group at Accenture,"University of California, Riverside",Political Science,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
14, Paris  ,Co-Founder at Yuccan Lead,Information Technology Infrastructure Engineer at CMS Francis Lefebvre Avocats,"University of California, Riverside",Business Management,"University of California, Riverside","(48.8588897, 2.3200410217200766)",Île-de-France,Paris,,
15,"San Francisco, California, United States",Co-Founder & CTO at CloudTrucks,Senior Engineering Manager at Lob,"University of California, Riverside",Computer Science,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
16,"Greystones, County Wicklow, Ireland",Digital strategy manager at CRH,IT Group services Manager at CRH,Trinity College Dublin,"Business Administration and Management, General","University of California, Riverside","(53.1448901, -6.0632184)",,County,,
17,"Pune, Maharashtra, India",Co-Founder and CEO at Sensing Self Pte Ltd,Founder and CEO at Swipe Technologies Pvt Ltd,"University of California, Riverside","Bio-Nanotechnology, BioScience, Molecular Diagnostics","University of California, Riverside","(18.521428, 73.8544541)",Maharashtra,Pune,Pune,
18,"Orange County, California, United States",Director Of Operations at Alleyoop,Retail Compliance Manager - North America at DSV - Global Transport and Logistics,"University of California, Irvine - The Paul Merage School of Business","Logistics, Materials, and Supply Chain Management & Operations","University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
19, Madrid  ,Co-Founder at Trucksters,Consultant at BTS,IE University,,"University of California, Riverside","(40.4167047, -3.7035825)",Comunidad de Madrid,Área metropolitana de Madrid y Corredor del,Madrid,
20,"Los Angeles, California, United States",Chief Operations Officer at Company 3,"Senior Vice President, Global Business Operations at Deluxe Entertainment Services Group",2001–2003,Emphasis Finance,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
