current_location,current_work,previous_work,latest_Education,majro,search_school,major
"Dublin, Ohio, United States","Director, Cyber Security Operations & Incident Response at Diebold Nixdorf",Cyber Security Manager at Capgemini,Brown University,"Computer Science, Computer Networking and Security",Brown University,
New York City Metropolitan Area,"Vice President of Development at TRITEC Real Estate Company, Inc.","Development Analyst at TRITEC Real Estate Company, Inc.",Georgetown University,Real Estate Development,Brown University,
"San Diego County, California, United States","Strategic Advisor at Ionis Pharmaceuticals, Inc.","Vice President Of Business Development and Alliance Management at Ionis Pharmaceuticals, Inc.",1999–2001,Healthcare Management,Brown University,
San Francisco Bay Area,"Strategic Enterprise Solutions, International Markets Group at YourCause, Blackbaud Corporate Solutions","Partnerships & Sales, Corporate Solutions at YourCause, Blackbaud Corporate Solutions",Brown University,"Entrepreneurship, Organizations, and Social Justice",Brown University,
"Mesa, Arizona, United States","Senior Director, Global Enterprise Risk Management (ERM) at ON Semiconductor",Director of Global Supply Chain Planning / New Product Planning at ON Semiconductor,University of Pennsylvania - The Wharton School,Strategic Management & Planning,Brown University,
"Cincinnati, Ohio, United States",Analytics Director at TNTP,"Senior Manager, Analyst at TNTP","Harvard University, John F. Kennedy School of Government",Social and Urban Policy,Brown University,
"Miami, Florida, United States",Principal Product Manager at GE,Senior Manager - Technical Product Management at GE,Brown University,,Brown University,
"Redwood City, California, United States","Executive Director, Cloud AI & Industry Solutions at Google","Executive Director Marketing, Google Cloud at Google",+ 1 more,Finance & Marketing,Brown University,
New York City Metropolitan Area,"Head of Trade Marketing, Europe, Middle East, Africa & Asia at FGX International","Vice President & General Manager, NY Office at FGX International",Harvard Business School,"general management, marketing, entrepreneurship",Brown University,
Hong Kong SAR,Private Equity Associate at Baring Private Equity Asia,Investment Banking Analyst at Citi,Brown University,Applied Mathematics and Econonmics,Brown University,
New York City Metropolitan Area,Product Manager at Twilio,"Senior Manager, Cloud + AI Product Strategy at Microsoft",Brown University,Applied Mathematics,Brown University,
"Encinitas, California, United States",Vice President Project Development at Poseidon Water,Vice President at Tom Shepard & Associates / Public Policy Strategies,Brown University,Public Policy,Brown University,
"Bainbridge Island, Washington, United States","Customer Service Consultant, Customer Service Trainer, eLearning, Forbes, Customer Experience at micahsolomon.com",President and Founder at Oasis Disc Manufacturing,Brown University,Music,Brown University,
"New York, New York, United States","Partner at Meenan & Associates, LLC",Attorney At Law at Law Office of Lissett Ferreira,Fordham University School of Law,"Portuguese and Brazailian Studies, Honors, & International Relations",Brown University,
"New York, New York, United States",Owner at Blauner Books Literary Agency,"Editor at ""IN THEIR LIVES: Great Writers on Great Beatles Songs""",+ 2 more,,Brown University,
San Francisco Bay Area,"Marketing Representative, Global T.E.A.M. DE&I Council at Under Armour","Senior Director, Creative at Banana Republic",The Tuck School of Business at Dartmouth,Graphic Design,Brown University,
New York City Metropolitan Area,"Director, Communications Leader for the Office of the Chief Medical Officer (Enterprise) at Johnson & Johnson","Public Affairs Leader, North America (Consumer) at Johnson & Johnson",Brown University,Political Science,Brown University,
"New York, New York, United States","Author, ""Make Your Move: The New Science of Dating and Why Women Are in Charge"" (BenBella, 2021) at BenBella Books","Author, ""DATE-ONOMICS: How Dating Became a Lopsided Numbers Game"" at Workman Publishing",Brown University,,Brown University,
"New York, New York, United States",General Partner at Elephant,Associate at Highland Capital Partners,Brown University,,Brown University,
"Washington, New Jersey, United States",Senior Director at Summit Staffing Partners,Technical Recruiter at Grassbridge LLC,Brown University,"Commerce, Organization, Entrepreneurship",Brown University,
New York City Metropolitan Area,Co-Founder and General Partner at Divergent Capital,COO and Head of Product at Rendered.AI,Brown University,"Mathematics, Behavioral Economics",Brown University,
"Shrewsbury, Massachusetts, United States",Sales Leader - East at ForgeRock,Director - Americas Sales/Anti-Fraud (Outseer) at RSA Security,2001–2005,,Brown University,
"New York, New York, United States",Partner at Goodwin,Partner at Dechert LLP,1989–1992,Law,Brown University,
"Canton, Ohio, United States",Owner at Miller Myers Bookkeeping Solutions LLC,Customer Service Clerk at JCPenney,Bookkeeper Launch,bookkeeping,Brown University,
San Francisco Bay Area,Founder at Aila Health,Growth Advisor at Obviously AI,"University of California, Berkeley, Haas School of Business",Biology,Brown University,
"Santa Monica, California, United States",Co-Founder & Technology Lead at Hammerhead.,Hammerhead Co-Founder at TechStars,Brown University,PRIME - Program in Innovation Management and Entrepreneurship,Brown University,
"New York, New York, United States",Founder & CEO at Quanta Technologies Inc.,Global Derivative Sales at ABN AMRO Bank N.V.,Brown University,Physics,Brown University,
"Cambridge, Massachusetts, United States",Chief Operating Officer at Versant NewCo,Chief Operating Officer at Monte Rosa Therapeutics,Brown University,Organic Chemistry,Brown University,
"Cincinnati, Ohio, United States",Senior Medical Director; Radiation Oncologist at Medpace,Radiation Oncologist at TriHealth,1994–1998,Biology,Brown University,
"Irvine, California, United States",Co-Founder & CEO at Mabel,Co-Founder & CEO at Calyx Health,Brown University,Computational Biology,Brown University,
San Francisco Bay Area,VP of Software Engineering at Velodyne Lidar,"Sr. Director of Software Engineering at Velodyne Lidar, Inc.",2002–2009,Electrical and Computer Engineering,Brown University,
"High Bridge, New Jersey, United States",President & CEO - Owner at The Knotts Company,V.P. Sales & Marketing at The Knotts Company,Fairleigh Dickinson University-College at Florham,Marketing,Brown University,
"London, England, United Kingdom",Managing Director at MARK,Venture Partner at Anyon Holding,Stanford University Graduate School of Business,Political Science and Economics,Brown University,
San Francisco Bay Area,Chief Operating Officer at Motimatic,Interim CEO at Motimatic,Brown University,Math-Physics,Brown University,
"Boston, Massachusetts, United States","Founder & CEO at Tremor Technologies, Inc.","Director, Product Management at AOL",Brown University,,Brown University,
"San Antonio, Texas, United States",President GroMarketShare LLC at GroMarketShare LLC,Vice President Marketing Americas  at Acelity,Brown University,Master's Degree of Science in Healthcare Leadership,Brown University,
"Boston, Massachusetts, United States","Founder, CEO at Rocket Alumni Solutions",Investment Banking Analyst at Harris Williams,Brown University,Business & Economics,Brown University,
"San Diego, California, United States",Senior Project Manager at BNBuilders,Senior Project Manager / PM II at Lendlease,Brown University,"Commerce, Organizations, & Entrepreneurship; Architectural Studies",Brown University,
New York City Metropolitan Area,"Business Services Director at Goldman Sachs 10,000 Small Businesses @ LaGuardia Community College",Director at CAMBA Economic Development Corporation,1997–1999,Finance and Strategic Management,Brown University,
500+ connections,,Research and Analytics Summer Intern at Commonfund,University of Chicago,Mathematics (B.S.); Economics (B.A.); Statistics (B.A.),Brown University,
"San Carlos, California, United States","Vice President Of Product Management, Core Products at Splunk","Vice President of Product Management at AtScale, Inc.",1996–1998,"Business, Operations",Brown University,
"Providence, Rhode Island, United States","Head, US Innovation & Venture Hub at Orsted - Offshore North America","AVP, Innovation Science & Technology at FM Global",2003–2007,"Double Major: 1. Public Policy, 2. Business Economics",Brown University,
San Francisco Bay Area,"Vice President, Pipeline Strategy and External Innovation at Adverum Biotechnologies, Inc.","Executive Director, Business Development at Adverum Biotechnologies, Inc.",Georgetown University - The McDonough School of Business,International Business,Brown University,
"Los Angeles, California, United States","Co-Founder, Chairman & Co-CEO at Scopely",CEO at O Negative Media,2000–2004,"English Literature, Fiction Writing",Brown University,
Greater Minneapolis-St. Paul Area,Senior Marketing Manager at Ecolab,"Senior Marketing Manager, Healthy Fruit at SunOpta",University of Pennsylvania - The Wharton School,Marketing and Operations Management,Brown University,
"Providence, Rhode Island, United States",Founder at Wingspans,Ph.D. Candidate at Brown University,Brown University,Materials Science,Brown University,
"San Francisco, California, United States",Head of Product at Sofar Ocean,"Senior Product Manager, APIs & Developer Experience at Planet",Brown University,International Relations,Brown University,
"Bronxville, New York, United States","SVP Brand, Marketing & Media, Consumer Services at Altice USA","Executive Director, Head of Brand Experience & Development at J.P. Morgan Private Bank at J.P. Morgan",Columbia University in the City of New York,Strategic Communications (Branding concentration),Brown University,
"Philadelphia, Pennsylvania, United States",System Senior Vice President for Digital and Human Experiences at CommonSpirit Health,Advisory Board Member at Imprivata,Brown University,"Instructional Technology, Measurement",Brown University,
Bangkok Metropolitan Area,Chief Strategy Officer at Transformational,"Director, Strategy and Corporate Development at Kaidee",Harvard University,"Leadership, Economic Development, Urban Innovation",Brown University,
"New York, New York, United States",Head of Product at Talent Hack,Director of Product Management at Plated,Brown University,Psychology,Brown University,
"Los Angeles, California, United States","Vice President, Strategy & Business Development at Mythical Entertainment","Manager, Sports & Entertainment at YouTube",Brown University,Political Science,Brown University,
San Francisco Bay Area,Global Head of Future Mobility at Rockwell Automation,Global Business Leader - EV & Battery at Rockwell Automation,Brown University,"Entrepreneurship, Strategy",Brown University,
San Francisco Bay Area,Global Head of Future Mobility at Rockwell Automation,Global Business Leader - EV & Battery at Rockwell Automation,Brown University,,Brown University,
"London Area, United Kingdom",Founder at The Alchemy Group,International General Manager & VP Growth at Trainline,2006–2008,Entrepreneurial Management,Brown University,
500+ connections,"Associate Director of Product Management, Pharma Services at NeoGenomics Laboratories",VC Investor at Venture Capital Firm (undisclosed),"University of California, Berkeley",Chemistry,Brown University,
"Boston, Massachusetts, United States","Business Development, Expansion Operations at Capsule",International Business Development at PharmaLogics Recruiting,Brown University,"Entrepreneurial Engineering, Technology Innovation, Business Engineering, Management, Biotechnology",Brown University,
"Cambridge, Massachusetts, United States",Executive Founder at The Leadership Consortium (TLC),"Founder and CEO at GenePeeks, Inc.",Harvard Business School,,Brown University,
"Seattle, Washington, United States",Senior Media Relations Manager at Boeing,"Senior Manager, Fabrication Communications, Boeing Commercial Airplanes at Boeing",Columbia University - Graduate School of Journalism,Journalism,Brown University,
"Flower Mound, Texas, United States",Vice President Architecture and Engineering at AIG,Senior Technology Strategy Consultant at Point B,Brown University,Business Administration and Management,Brown University,
"New York, New York, United States","VP, Strategy & Innovation at Insight Partners","Senior Director, Strategy & Business Development at Industrious",2007–2011,Neuroscience and Science & Society,Brown University,
"Merritt Island, Florida, United States",Chief Medical Officer at Envolve Pharmacy Solutions - at Centene Corporation  https://www.centene.com/,,University of Pennsylvania,,Brown University,
"Bubikon, Zurich, Switzerland",Sr. Procurement Director EMEAI at Sherwin-Williams,Purchasing Director Europe at Graham Packaging,2001–2002,Production organisation and Management,Brown University,
"Toronto, Ontario, Canada",Founder at Kirsch Consulting Group Inc,Office of the Provincial Security Advisor at Ontario Government,Brown University,Public Policy,Brown University,
"New York, New York, United States",Director of Cybersecurity at Unqork,Information Security and Privacy Engineer at Unqork,Brown University,Public Affairs (MPA),Brown University,
"Santa Cruz, California, United States","Director, Origination & Project Development (West) at Pivot Energy",Origination and Development at Brightmark Energy,1999–2000,Finance,Brown University,
"Santa Cruz, California, United States","Director, Origination & Project Development (West) at Pivot Energy",Origination and Development at Brightmark Energy,1999–2000,,Brown University,
"San Francisco, California, United States",Senior Product Manager  at Hipcamp,Senior Product Manager at Yelp,Brown University,Economics,Brown University,
500+ connections,,Contributing Editor YaleInternationalAlliance at Yale University,Yale University,"History, Mathematics",Brown University,
Miami-Fort Lauderdale Area,Vice President at USI Insurance Services,Property and Casualty Advisor at Brown & Brown Insurance,University of Central Florida,"Finance, General",Brown University,
Singapore,Co-Founder at TalentStories,"Director, Talent Acquisition - Asia Pacific at Netflix",1994–1998,,Brown University,
"Pflugerville, Texas, United States","Director Organizational Effectiveness, Tech at Meta","Regional Talent and Organizational Development Consultant, Americas at Google",Harvard Business School,General Management and Finance,Brown University,
"New York, New York, United States",Enterprise Customer Success Manager at Lattice,Sr. Client Success Manager/Global Lead at DiligenceVault,Brown University,General Management,Brown University,
"Los Angeles, California, United States",Principal at You Are Here Properties LLC,Executive Director at Fate Therapeutics Inc,1983–1998,Cell & Molecular Biology,Brown University,
Greater Chicago Area,Co-Founder & CEO  at Real Made Foods,Senior Marketing Manager at PepsiCo,Brown University,,Brown University,
"London, England, United Kingdom",Director eCommerce at Decathlon UK,Director eCommerce at Millbrook Healthcare,The University of Chicago Booth School of Business,"Finance, General Management",Brown University,
San Francisco Bay Area,Chief Executive Officer at AlloVir,"Independent Director, Board of Directors at AlloVir",1997–2003,"Internal Medicine, Infectious Diseases",Brown University,
"Chapel Hill, North Carolina, United States",Co-Founder & CTO at Own Up,Software Engineer at Ableton,1997–2001,Computer Science,Brown University,
"New York, New York, United States",CEO at A Place for Mom,CEO at TravelClick,Columbia University - Columbia Business School,Marketing/Finance,Brown University,
"Los Angeles, California, United States",CEO and Co-Founder at Yumi,"Director at SierraConstellation Partners, LLC",Brown University,Mathematics and Economics,Brown University,
"New York, New York, United States",Director of New Commerce at Nike,Director of Strategy for Nike Direct (DTC) at Nike,Massachusetts Institute of Technology,Entrepreneurship/Entrepreneurial Studies,Brown University,
"Washington, District of Columbia, United States",CEO & Co-Founder at Optoro,CEO & Co-Founder at eSpot,2000–2004,Business Economics,Brown University,
"Cambridge, Massachusetts, United States","Co-Founder, CTO at Wistia, Inc.",Developer at AgencyPort,Education (same page),Computer Engineering,Brown University,
New York City Metropolitan Area,CEO at Inman News,COO at Gawker Media,University of Michigan Law School,,Brown University,
"Cincinnati, Ohio, United States",Founder and CEO at RedCircle,Senior Engineering Manager - Communications Platform at Uber,2005–2008,Electrical Engineering,Brown University,
