,current_location,current_work,previous_work,latest_Education,major,search_school
0,"Dublin, Ohio, United States","Director, Cyber Security Operations & Incident Response at Diebold Nixdorf",Cyber Security Manager at Capgemini,Brown University,"Computer Science, Computer Networking and Security",Brown University
1,New York City Metropolitan Area,"Vice President of Development at TRITEC Real Estate Company, Inc.","Development Analyst at TRITEC Real Estate Company, Inc.",Georgetown University,Real Estate Development,Brown University
2,"San Diego County, California, United States","Strategic Advisor at Ionis Pharmaceuticals, Inc.","Vice President Of Business Development and Alliance Management at Ionis Pharmaceuticals, Inc.",1999–2001,Healthcare Management,Brown University
3,San Francisco Bay Area,"Strategic Enterprise Solutions, International Markets Group at YourCause, Blackbaud Corporate Solutions","Partnerships & Sales, Corporate Solutions at YourCause, Blackbaud Corporate Solutions",Brown University,"Entrepreneurship, Organizations, and Social Justice",Brown University
4,"Mesa, Arizona, United States","Senior Director, Global Enterprise Risk Management (ERM) at ON Semiconductor",Director of Global Supply Chain Planning / New Product Planning at ON Semiconductor,University of Pennsylvania - The Wharton School,Strategic Management & Planning,Brown University
5,"Cincinnati, Ohio, United States",Analytics Director at TNTP,"Senior Manager, Analyst at TNTP","Harvard University, John F. Kennedy School of Government",Social and Urban Policy,Brown University
6,"Miami, Florida, United States",Principal Product Manager at GE,Senior Manager - Technical Product Management at GE,Brown University,,Brown University
7,"Redwood City, California, United States","Executive Director, Cloud AI & Industry Solutions at Google","Executive Director Marketing, Google Cloud at Google",+ 1 more,Finance & Marketing,Brown University
8,New York City Metropolitan Area,"Head of Trade Marketing, Europe, Middle East, Africa & Asia at FGX International","Vice President & General Manager, NY Office at FGX International",Harvard Business School,"general management, marketing, entrepreneurship",Brown University
9,Hong Kong SAR,Private Equity Associate at Baring Private Equity Asia,Investment Banking Analyst at Citi,Brown University,Applied Mathematics and Econonmics,Brown University
10,New York City Metropolitan Area,Product Manager at Twilio,"Senior Manager, Cloud + AI Product Strategy at Microsoft",Brown University,Applied Mathematics,Brown University
11,"Encinitas, California, United States",Vice President Project Development at Poseidon Water,Vice President at Tom Shepard & Associates / Public Policy Strategies,Brown University,Public Policy,Brown University
12,"Bainbridge Island, Washington, United States","Customer Service Consultant, Customer Service Trainer, eLearning, Forbes, Customer Experience at micahsolomon.com",President and Founder at Oasis Disc Manufacturing,Brown University,Music,Brown University
13,"New York, New York, United States","Partner at Meenan & Associates, LLC",Attorney At Law at Law Office of Lissett Ferreira,Fordham University School of Law,"Portuguese and Brazailian Studies, Honors, & International Relations",Brown University
14,"New York, New York, United States",Owner at Blauner Books Literary Agency,"Editor at ""IN THEIR LIVES: Great Writers on Great Beatles Songs""",+ 2 more,,Brown University
15,San Francisco Bay Area,"Marketing Representative, Global T.E.A.M. DE&I Council at Under Armour","Senior Director, Creative at Banana Republic",The Tuck School of Business at Dartmouth,Graphic Design,Brown University
16,New York City Metropolitan Area,"Director, Communications Leader for the Office of the Chief Medical Officer (Enterprise) at Johnson & Johnson","Public Affairs Leader, North America (Consumer) at Johnson & Johnson",Brown University,Political Science,Brown University
17,"New York, New York, United States","Author, ""Make Your Move: The New Science of Dating and Why Women Are in Charge"" (BenBella, 2021) at BenBella Books","Author, ""DATE-ONOMICS: How Dating Became a Lopsided Numbers Game"" at Workman Publishing",Brown University,,Brown University
18,"New York, New York, United States",General Partner at Elephant,Associate at Highland Capital Partners,Brown University,,Brown University
19,"Washington, New Jersey, United States",Senior Director at Summit Staffing Partners,Technical Recruiter at Grassbridge LLC,Brown University,"Commerce, Organization, Entrepreneurship",Brown University
20,New York City Metropolitan Area,Co-Founder and General Partner at Divergent Capital,COO and Head of Product at Rendered.AI,Brown University,"Mathematics, Behavioral Economics",Brown University
21,"Shrewsbury, Massachusetts, United States",Sales Leader - East at ForgeRock,Director - Americas Sales/Anti-Fraud (Outseer) at RSA Security,2001–2005,,Brown University
22,"New York, New York, United States",Partner at Goodwin,Partner at Dechert LLP,1989–1992,Law,Brown University
23,"Canton, Ohio, United States",Owner at Miller Myers Bookkeeping Solutions LLC,Customer Service Clerk at JCPenney,Bookkeeper Launch,bookkeeping,Brown University
24,San Francisco Bay Area,Founder at Aila Health,Growth Advisor at Obviously AI,"University of California, Berkeley, Haas School of Business",Biology,Brown University
25,"Santa Monica, California, United States",Co-Founder & Technology Lead at Hammerhead.,Hammerhead Co-Founder at TechStars,Brown University,PRIME - Program in Innovation Management and Entrepreneurship,Brown University
26,"New York, New York, United States",Founder & CEO at Quanta Technologies Inc.,Global Derivative Sales at ABN AMRO Bank N.V.,Brown University,Physics,Brown University
27,"Cambridge, Massachusetts, United States",Chief Operating Officer at Versant NewCo,Chief Operating Officer at Monte Rosa Therapeutics,Brown University,Organic Chemistry,Brown University
28,"Cincinnati, Ohio, United States",Senior Medical Director; Radiation Oncologist at Medpace,Radiation Oncologist at TriHealth,1994–1998,Biology,Brown University
29,"Irvine, California, United States",Co-Founder & CEO at Mabel,Co-Founder & CEO at Calyx Health,Brown University,Computational Biology,Brown University
30,San Francisco Bay Area,VP of Software Engineering at Velodyne Lidar,"Sr. Director of Software Engineering at Velodyne Lidar, Inc.",2002–2009,Electrical and Computer Engineering,Brown University
31,"High Bridge, New Jersey, United States",President & CEO - Owner at The Knotts Company,V.P. Sales & Marketing at The Knotts Company,Fairleigh Dickinson University-College at Florham,Marketing,Brown University
32,"London, England, United Kingdom",Managing Director at MARK,Venture Partner at Anyon Holding,Stanford University Graduate School of Business,Political Science and Economics,Brown University
33,San Francisco Bay Area,Chief Operating Officer at Motimatic,Interim CEO at Motimatic,Brown University,Math-Physics,Brown University
34,"Boston, Massachusetts, United States","Founder & CEO at Tremor Technologies, Inc.","Director, Product Management at AOL",Brown University,,Brown University
