,Unnamed: 0,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,latitude,longitude,fips,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title
0,0,"Los Angeles, California, United States","Co-Founder at Black Yeti Beverage, Inc.",Chief Brand Officer & Neuromodulation Director  at Mind & Body Treatment and Research Institute,2020–Present,Clinical Psychology,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,"Black Yeti Beverage, Inc.",Mind & Body Treatment and Research Institute,,,,,,,
1,1,"Newport Beach, California, United States",CEO at US Business Funding,"Director of app only division / Small ticket Equipment leasing & Financing at Global Finance Group, Inc.","University of California, Riverside",,"University of California, Riverside","(33.6170092, -117.9294401)",California,Orange,Newport Beach,33.617009,-117.92944,6059.0,US Business Funding,"Global Finance Group, Inc.",541618 Utilities management consulting services,522320 U.S. Central Credit Union,54,52,"Professional, Scientific, and Technical Services",77645.346,Finance and Insurance
2,2,"San Francisco, California, United States","CEO at Empiric, Inc.",Sales at DAQRI,ArtCenter College of Design,Product Design,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,37.779026,-122.419906,6075.0,"Empiric, Inc.",DAQRI,621999 Stop smoking clinics,"541511 Web (i.e., Internet) page design services, custom",62,54,Health Care and Social Assistance,76373.049,"Professional, Scientific, and Technical Services"
3,3,"Allen, Texas, United States",Co-Founder at TitaniusBots,Customer Representative & Sales II at Bank of America,"University of California, Riverside",Multi/Interdisciplinary Studies,"University of California, Riverside","(33.1031744, -96.6705503)",Texas,Collin,,33.103174,-96.67055,48085.0,TitaniusBots,Bank of America,,522110 State commercial banks,,52,,,Finance and Insurance
4,4,"Coppell, Texas, United States",Chief Executive Officer at Kings III Emergency Communications,"President at SoloProtect, A Division of Kings III Emergency Communications",University of Califonia Riverside,Mathmatics,"University of California, Riverside","(32.9552598, -97.0155703)",Texas,Dallas,,32.95526,-97.01557,48113.0,Kings III Emergency Communications,"SoloProtect, A Division of Kings III Emergency Communications",,,,,,,
5,5,"El Segundo, California, United States",Chief Executive Officer at ONYX Motorbikes,Prototyping | Design Technologist | Software Development Engineer  at Amazon Lab126,"University of California, Riverside",Arts,"University of California, Riverside","(33.917028, -118.4156337)",California,Los Angeles,,33.917028,-118.415634,6037.0,ONYX Motorbikes,Amazon Lab126,,,,,,,
6,6,"Olympia, Washington, United States",Founder and CEO at Townsend Security,Senior Consultant at Patrick Townsend & Associates,"University of California, Riverside","Sociology, Education","University of California, Riverside","(47.0451022, -122.8950075)",Washington,Thurston,Olympia,47.045102,-122.895008,53067.0,Townsend Security,Patrick Townsend & Associates,443142 Video tape stores,,44-45,,Retail Trade,56013.266,
7,7,Los Angeles  ,Founder & CEO at KATSH DIGITAL ID,Co-Founder at LifeNow.TV,"University of California, Riverside","Product Fit and Market Research, I-Corps Program","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,KATSH DIGITAL ID,LifeNow.TV,,,,,,,
8,8,San Francisco Bay ,Head Of Information Technology at Guardant Health,Head Of Information Technology at Credit Karma,"University of California, Riverside",Computer Science,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,37.714029,-122.307794,6081.0,Guardant Health,Credit Karma,621511 Urinalysis laboratories,522320 U.S. Central Credit Union,62,52,Health Care and Social Assistance,76373.049,Finance and Insurance
9,9,"Santa Monica, California, United States",Chief Executive Officer at RadiaBeam Technologies,Accelerator Engineer at SureBeam Corporation,"University of California, Los Angeles",Physics,"University of California, Riverside","(34.0194704, -118.4912273)",California,Los Angeles,Santa Monica,34.01947,-118.491227,6037.0,RadiaBeam Technologies,SureBeam Corporation,443142 Video tape stores,,44-45,,Retail Trade,56013.266,
10,10,"Los Angeles, California, United States",Supply Chain Manager at VS Tees,Business Consultant at 7-Eleven,University of Southern California - Marshall School of Business,Economics,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,VS Tees,7-Eleven,,533110 Trademark licensing,,53,,,Real Estate and Rental and Leasing
11,11,,CEO at Krishnan & Associates,Senior Accountant at General Electric (GE),"University of California, Riverside",Business,"University of California, Riverside",,,,,,,,Krishnan & Associates,General Electric (GE),,,,,,,
12,12,"New York, New York, United States",CEO at Runit Systems,"Co-Founder, President & CEO at Hyrian [An award winning, leading national provider of Recruitment Outsourcing services]",1987–1991,Political Science and Administrative Studies (Business Administration),"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,40.712728,-74.006015,36061.0,Runit Systems,"Hyrian [An award winning, leading national provider of Recruitment Outsourcing services]",,,,,,,
13,13,San Francisco Bay ,Vice President Digital Transformation - Technology Group at QuEST Global,Assc. Managing Director -Technology Group at Accenture,"University of California, Riverside",Political Science,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,37.714029,-122.307794,6081.0,QuEST Global,Accenture,551112 Public utility holding companies,541330 Traffic engineering consulting services,55,54,Management of Companies and Enterprises,82055.219,"Professional, Scientific, and Technical Services"
14,14, Paris  ,Co-Founder at Yuccan Lead,Information Technology Infrastructure Engineer at CMS Francis Lefebvre Avocats,"University of California, Riverside",Business Management,"University of California, Riverside","(48.8588897, 2.3200410217200766)",Île-de-France,Paris,,48.85889,2.320041,,Yuccan Lead,CMS Francis Lefebvre Avocats,,541110 Tax law attorneys' private practices,,54,,,"Professional, Scientific, and Technical Services"
15,15,"San Francisco, California, United States",Co-Founder & CTO at CloudTrucks,Senior Engineering Manager at Lob,"University of California, Riverside",Computer Science,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,37.779026,-122.419906,6075.0,CloudTrucks,Lob,,"454310 Liquefied petroleum gas (LPG) dealers, direct selling",,44-45,,,Retail Trade
16,16,"Greystones, County Wicklow, Ireland",Digital strategy manager at CRH,IT Group services Manager at CRH,Trinity College Dublin,"Business Administration and Management, General","University of California, Riverside","(53.1448901, -6.0632184)",,County,,53.14489,-6.063218,,CRH,CRH,561499 Videoconferencing services,561499 Videoconferencing services,56,56,Administrative and Support and Waste Management and Remediation Services,64366.438,Administrative and Support and Waste Management and Remediation Services
17,17,"Pune, Maharashtra, India",Co-Founder and CEO at Sensing Self Pte Ltd,Founder and CEO at Swipe Technologies Pvt Ltd,"University of California, Riverside","Bio-Nanotechnology, BioScience, Molecular Diagnostics","University of California, Riverside","(18.521428, 73.8544541)",Maharashtra,Pune,Pune,18.521428,73.854454,,Sensing Self Pte Ltd,Swipe Technologies Pvt Ltd,,,,,,,
18,18,"Orange County, California, United States",Director Of Operations at Alleyoop,Retail Compliance Manager - North America at DSV - Global Transport and Logistics,"University of California, Irvine - The Paul Merage School of Business","Logistics, Materials, and Supply Chain Management & Operations","University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,33.750038,-117.870493,6059.0,Alleyoop,DSV - Global Transport and Logistics,,,,,,,
19,19, Madrid  ,Co-Founder at Trucksters,Consultant at BTS,IE University,,"University of California, Riverside","(40.4167047, -3.7035825)",Comunidad de Madrid,Área metropolitana de Madrid y Corredor del,Madrid,40.416705,-3.703582,,Trucksters,BTS,,485999 Vanpool operation,,48-49,,,Transportation and Warehousing
20,20,"Los Angeles, California, United States",Chief Operations Officer at Company 3,"Senior Vice President, Global Business Operations at Deluxe Entertainment Services Group",2001–2003,Emphasis Finance,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Company 3,Deluxe Entertainment Services Group,561110 Office management services,"541840 Television advertising representatives (i.e., independent of media owners)",56,54,Administrative and Support and Waste Management and Remediation Services,64366.438,"Professional, Scientific, and Technical Services"
21,21,"Riverside, California, United States","Co-Founder at Brand Purpose, LLC","Instructor, Marketing and Business Writing at University of Redlands","University of California, Riverside",Liberal Studies (Chemistry and Psychology),"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,33.945941,-117.410244,6065.0,"Brand Purpose, LLC",University of Redlands,,611310 Universities,,61,,,Educational Services
22,22,"Belo Horizonte, Minas Gerais, Brazil",CEO at MIP CONSTRUTORA,Board Member at MIP ENGENHARIA S/A,IBGC - Instituto Brasileiro de Governança Corporativa,Corporate Governance,"University of California, Riverside","(-19.9227318, -43.9450948)",Minas Gerais,Região Metropolitana de Belo,Belo Horizonte,-19.922732,-43.945095,,MIP CONSTRUTORA,MIP ENGENHARIA S/A,,,,,,,
23,23,"Münster, North Rhine-Westphalia, Germany",Founder & COO at BitBurst GmbH,Dualer Student at Saint-Gobain Weber,FOM Hochschule für Oekonomie & Management,Master Business Consulting & Digital Management (MS),"University of California, Riverside","(51.9625101, 7.6251879)",Nordrhein-Westfalen,,Münster,51.96251,7.625188,,BitBurst GmbH,Saint-Gobain Weber,,"327390 Ties, concrete, railroad, manufacturing",,31-33,,,Manufacturing
24,24,"Los Angeles, California, United States",Co-Founder at Stealth Startup,Sales Executive at NEXT Trucking,"University of California, Riverside",Psychology,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Stealth Startup,NEXT Trucking,,"493110 Warehousing and storage, general merchandise",,48-49,,,Transportation and Warehousing
25,25,"Downey, California, United States",Executive Vice President Of Operations at TBD,Vice President of operations at FiveStar Gourmet Foods,"University of California, Riverside",6 sigma - Black Belt,"University of California, Riverside","(33.942215, -118.1235646)",California,Los Angeles,Downey,33.942215,-118.123565,6037.0,TBD,FiveStar Gourmet Foods,541380 X-ray inspection services,,54,,"Professional, Scientific, and Technical Services",77645.346,
26,26,"Santa Monica, California, United States",Director of E-Commerce at JAXXON,Digital Asset Management Coordinator at RPA,General Assembly,UX Design,"University of California, Riverside","(34.0194704, -118.4912273)",California,Los Angeles,Santa Monica,34.01947,-118.491227,6037.0,JAXXON,RPA,,"221118 Power generation, tidal electric",,22,,,Utilities
27,27,"Newport Beach, California, United States",President & CEO at Vino Vault LLC,Founder/Business Unit Leader at Iron Mountain Entertainment Services,"University of California, Riverside",International Business,"University of California, Riverside","(33.6170092, -117.9294401)",California,Orange,Newport Beach,33.617009,-117.92944,6059.0,Vino Vault LLC,Iron Mountain Entertainment Services,,,,,,,
28,28,Los Angeles  ,Chief Operating Officer at IT Retail,Product Manager at IT Retail,"University of California, Riverside",Marketing,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,IT Retail,IT Retail,,,,,,,
29,29, Chicago ,"VP, Chief Marketing Officer at DemandTec by Acoustic",Chief Marketing Officer at GrocerKey,1997–2001,Political Science,"University of California, Riverside","(41.8755616, -87.6244212)",Illinois,Cook,Chicago,41.875562,-87.624421,17031.0,DemandTec by Acoustic,GrocerKey,,,,,,,
30,30,"Riverside, California, United States",Vice President of Operations/Chief Operating Officer at Riverside Community Health Foundation,Health Care Social Worker at Riverside County Department of Public Health,California Baptist University,Sociology/Ethnic Studies Joint Major,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,33.945941,-117.410244,6065.0,Riverside Community Health Foundation,Riverside County Department of Public Health,523910 Viatical settlement companies,,52,,Finance and Insurance,80163.492,
31,31,"Los Angeles, California, United States",Co-Founder at Infura,Director of Site Reliability Engineering at KEYPR,Education (same page),Computer Science,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Infura,KEYPR,,,,,,,
32,32,Los Angeles  ,CEO / Director of Additive Testing at ASTRO Mechanical Testing Laboratory,"Associate Professor of Engineering, Computer Science & Technology at California State University, Los Angeles",University of Southern California,Astronautical Engineering,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,ASTRO Mechanical Testing Laboratory,"California State University, Los Angeles",,"923110 University regents or boards, government",,92,,,
33,33,"San Diego, California, United States",Chairman and CEO at ECG Management Consultants,Director at Sharp HealthCare,1995–1997,Economics,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,32.71742,-117.162773,6073.0,ECG Management Consultants,Sharp HealthCare,,524114 Medical service plans without providing health care services,,52,,,Finance and Insurance
34,34,"Los Angeles, California, United States",Co-Founder at Zentap,Chief Marketing Officer at Zentap,Yellow,Strategie d'Entreprise,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Zentap,Zentap,,,,,,,
35,35,Los Angeles  ,Chief Sales Officer (CSO) at Hawaiian Host Group,Senior Vice President Of Sales at Hawaiian Host Group,"Pepperdine University, The George L. Graziadio School of Business and Management",Environmental Engineering,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Hawaiian Host Group,Hawaiian Host Group,,,,,,,
36,36,"Anaheim, California, United States",Director of Marketing at Texas Ballet Theater,Mentor at M ACCELERATOR,1998–2000,Organization/Strategy,"University of California, Riverside","(33.8347516, -117.911732)",California,Orange,Anaheim,33.834752,-117.911732,6059.0,Texas Ballet Theater,M ACCELERATOR,611610 Voice instruction,541810 Advertising agency consulting services,61,54,Educational Services,67390.465,"Professional, Scientific, and Technical Services"
37,37,"Orange County, California, United States",Global Digital Marketing Project Manager at Moxa,"Internet and E-Commerce Specialist at Moxa Americas, Inc.",2007,Business Administration,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,33.750038,-117.870493,6059.0,Moxa,"Moxa Americas, Inc.","423430 Software, computer, packaged, merchant wholesalers","334118 Terminals, computer, manufacturing",42,31-33,Wholesale Trade,68623.359,Manufacturing
38,38,"Los Angeles, California, United States",CFO at SKIMS,Private Equity CFO at Private Equity,University of Southern California,Theology/Theological Studies,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,SKIMS,Private Equity,,"621111 Walk-in physicians' offices (e.g., centers, clinics)",,62,,,Health Care and Social Assistance
39,39, Sydney ,Head of Digital Analytics & Optimisation at Coles,"Senior Manager, Insights & Analytics at Woolworths Supermarkets",Universidad Rey Juan Carlos,"Business Administration, Bilingual","University of California, Riverside","(-33.8548157, 151.2164539)",New South Wales,,Sydney,-33.854816,151.216454,,Coles,Woolworths Supermarkets,561499 Videoconferencing services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,
40,40,Los Angeles  ,Founding Engineer at Cleanlab,"Senior Director, Data Science & AI/ML at DIRECTV",Georgia Institute of Technology,Computer Science,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Cleanlab,DIRECTV,,517312,,51,,,Information
41,41,"San Mateo, California, United States",Chief Information Security Officer - CISO at Coupa Software,VP of Infrastructure & CISO (various roles) at SurveyMonkey,UC Riverside,Business Administration,"University of California, Riverside","(37.496904, -122.3330573)",California,San Mateo,,37.496904,-122.333057,6081.0,Coupa Software,SurveyMonkey,"511210 Utility software, computer, packaged",541110 Tax law attorneys' private practices,51,54,Information,73855.595,"Professional, Scientific, and Technical Services"
42,42,Memphis  ,Continuous Improvement Manager at Hunter Fan Company,"Technical Manager - Engineering, Quality Assurance, Extrusion & Thermoforming at A.L.P. Lighting Components",Carnegie Mellon University,Physics - Measurement & Control,"University of California, Riverside","(35.1335022, -89.9668758)",Tennessee,Shelby,Memphis,35.133502,-89.966876,47157.0,Hunter Fan Company,A.L.P. Lighting Components,"335121 Yard Lights, residential electric, manufacturing",,31-33,,Manufacturing,69174.562,
43,43,"New York, New York, United States",Founder and CEO at Hairtelligence,MBA Intern at Seafair,The Wharton School,"Business Administration, Arts Management","University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,40.712728,-74.006015,36061.0,Hairtelligence,Seafair,,541820 Public relations services,,54,,,"Professional, Scientific, and Technical Services"
44,44,Los Angeles  ,"President at Accelerated Logistics LLC, AMAZON DSP",,University of Southern California,"Business Administration and Management, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,"Accelerated Logistics LLC, AMAZON DSP",,,,,,,,
45,45,Los Angeles  ,Head of Business Development at Shopmonkey,"Senior Director, Business Development & Partner Management at LegalZoom","University of California, Riverside",American History (United States),"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Shopmonkey,LegalZoom,541618 Utilities management consulting services,551112 Public utility holding companies,54,55,"Professional, Scientific, and Technical Services",77645.346,Management of Companies and Enterprises
46,46,San Francisco Bay ,"Senior Manager, Global Campaign Strategy and Integrated Marketing  at Splunk","Senior Manager, Competitive Campaign Marketing at Adobe","University of California, Riverside",focus on marketing,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,37.714029,-122.307794,6081.0,Splunk,Adobe,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information
47,47,"Boulder, Colorado, United States",Vice President Of Retail at Fjällräven North America,GM of Retail Operations at Rip Curl,University of Arizona,"Business Administration and Management, General","University of California, Riverside","(40.0149856, -105.270545)",Colorado,Boulder,Boulder,40.014986,-105.270545,8013.0,Fjällräven North America,Rip Curl,,"451110 Uniform stores, athletic",,44-45,,,Retail Trade
48,48,"Rancho Mirage, California, United States",Senior Director and Chief Medical Information Officer at Cerner Corporation,Physician Executive at Cerner Corporation,David Geffen School of Medicine at UCLA,Medicine,"University of California, Riverside","(33.770859, -116.42687402345575)",California,Riverside,,33.770859,-116.426874,6065.0,Cerner Corporation,Cerner Corporation,"541512 Systems integration design services, computer","541512 Systems integration design services, computer",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services"
49,49,,"Web Team Manager, Web Developer at Sega of America, Inc.",Art Director at Darick Publishing,LearningFuze,Accelerated Web Development Course,"University of California, Riverside",,,,,,,,"Sega of America, Inc.",Darick Publishing,"423920 Vehicles, children's (except bicycles), merchant wholesalers",,42,,Wholesale Trade,68623.359,
50,50,"Santa Monica, California, United States",VP of Product at TigerConnect,"Sr. Director, Product Management at TigerConnect",Columbia University in the City of New York,Strategic Communications,"University of California, Riverside","(34.0194704, -118.4912273)",California,Los Angeles,Santa Monica,34.01947,-118.491227,6037.0,TigerConnect,TigerConnect,"541519 Software installation services, computer","541519 Software installation services, computer",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services"
51,51,"Kirkland, Washington, United States",Senior Global Brand Marketing Manager at Wizards of the Coast,Global Brand Marketing Manager Magic The Gathering at Wizards of the Coast,California State University-San Bernardino,"Marketing/Marketing Management, General","University of California, Riverside","(47.6859573, -122.1920249)",Washington,King,,47.685957,-122.192025,53033.0,Wizards of the Coast,Wizards of the Coast,"541511 Web (i.e., Internet) page design services, custom","541511 Web (i.e., Internet) page design services, custom",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services"
