,current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
0, Madison ,SVP Operations and Supply Chain at Foremost Farms USA,Senior Vice President Operations at Lineage Logistics,Penn State University,,Pennsylvania State,Foremost Farms USA,Lineage Logistics,311512 Whey butter manufacturing,"493120 Warehousing, refrigerated",31-33,48-49,Manufacturing,69174.562,Transportation and Warehousing,43.074761,-89.383761,Wisconsin,Dane,Madison,55025
2, Pittsburgh ,"Director of Applications - Mobile, CMS and Data Hubs at Victoria's Secret","Director, Group Client Partner at Capgemini",Penn State University,Management Information Systems,Pennsylvania State,Victoria's Secret,Capgemini,448120 Maternity shops,"541511 Web (i.e., Internet) page design services, custom",44-45,54,Retail Trade,56013.266,"Professional, Scientific, and Technical Services",40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
3, Pittsburgh ,"Founder at AmbiFi, Inc.",Vice President / Chief Technology Architect at Korn Ferry,Pennsylvania State University,Computer Engineering,Pennsylvania State,"AmbiFi, Inc.",Korn Ferry,,541611 Strategic planning consulting services,,54,,,"Professional, Scientific, and Technical Services",40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
4,"Charlotte, North Carolina, United States","Managing Vice President, National Technology Accounts, Marketing/Creative/Digital at Robert Half",Regional Director - Technology & Digital/Marketing/Creative Staffing at Robert Half,Penn State University,"Business Logistics, ERP Systems",Pennsylvania State,Robert Half,Robert Half,"541211 Public accountants' (CPAs) private practices, certified","541211 Public accountants' (CPAs) private practices, certified",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",35.227209,-80.843083,North Carolina,Mecklenburg,Charlotte,37119
5,"Philadelphia, Pennsylvania, United States",Director of Marketing at Asset-Map,Digital Marketing Manager at eMoney Advisor,2008–2012,Broadcast Journalism,Pennsylvania State,Asset-Map,eMoney Advisor,,"523930 Investment advisory services, customized, fees paid by client",,52,,,Finance and Insurance,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
6,"Los Angeles, California, United States",Owner at Francis Krahe & Associates Inc.,Associate at Joseph R. Loring & Associates Inc.,1974–1979,,Pennsylvania State,Francis Krahe & Associates Inc.,Joseph R. Loring & Associates Inc.,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
7,"Doylestown, Pennsylvania, United States","Director, Head of Information Security at BM Technologies, Inc. (BMTX) f/k/a BankMobile",VP Product & Channel Security / VP Digital Fraud Strategy at PNC,University of Pennsylvania,Information Systems,Pennsylvania State,"BM Technologies, Inc. (BMTX) f/k/a BankMobile",PNC,,522110 State commercial banks,,52,,,Finance and Insurance,40.310045,-75.130459,Pennsylvania,Bucks,,42017
8,"Daytona Beach, Florida, United States","Vice President, Chief Financial Officer at TopBuild","Executive Vice President, Chief Financial Officer at Masco Contractor Services",University of Indianapolis,,Pennsylvania State,TopBuild,Masco Contractor Services,423330 Weather stripping merchant wholesalers,238310 Wall cavity and attic space insulation installation,42,23,Wholesale Trade,68623.359,Construction,29.210815,-81.022833,Florida,Volusia,Daytona Beach,12127
9,"Hoboken, New Jersey, United States",On Garden Leave - Senior Vice President- Head of Asset Management Electronic Trading SRE/DevOps at Citadel,Vice President - Cloud Engineering and DevOps Manager at Bank of America Merrill Lynch,1996–1999,Operations & Information Systems Management,Pennsylvania State,Citadel,Bank of America Merrill Lynch,"523991 Trust companies, nondepository",522110 State commercial banks,52,52,Finance and Insurance,80163.492,Finance and Insurance,40.743307,-74.032375,New Jersey,Hudson,,34017
10, Philadelphia,Director- Customer Experience at Dorman Products,Customer Experience Manager at Dorman Products,Penn State University,Supply Chain and Information Systems,Pennsylvania State,Dorman Products,Dorman Products,"339993 Zippers (i.e., slide fasteners) manufacturing","339993 Zippers (i.e., slide fasteners) manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
11,"Lancaster County, Pennsylvania, United States",President and Owner at The School of Biz,"Vistage Chair at Vistage Worldwide, Inc.",Education (same page),,Pennsylvania State,The School of Biz,"Vistage Worldwide, Inc.",,,,,,,,40.08067,-76.241128,Pennsylvania,Lancaster,,42071
13,"Warminster, Pennsylvania, United States","Chief Financial Officer at SP Industries, Inc.",EVP / CFO / COO at NPC Inc,1979–1983,Accounting,Pennsylvania State,"SP Industries, Inc.",NPC Inc,,722513 Take out eating places,,72,,,Accommodation and Food Services,40.206775,-75.099616,Pennsylvania,Bucks,Warminster Township,42017
14,Dallas-Fort Worth ,Managing Director at EY,Senior Manager at EY,Penn State University,Information Technology,Pennsylvania State,EY,EY,541213 Tax return preparation services,541213 Tax return preparation services,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",32.745316,-97.327831,Texas,Tarrant,Fort Worth,48439
15, Philadelphia,Vice President Strategic Initiatives at Aramark,Director of Applications at Flowers Foods & Subsidiaries,University of Pennsylvania - The Wharton School,Computer Science,Pennsylvania State,Aramark,Flowers Foods & Subsidiaries,315210 Work shirts cut and sew apparel contractors,,31-33,,Manufacturing,69174.562,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
