current_location,current_work,previous_work,latest_Education,majro,search_school,Unnamed: 0
"Los Angeles, California, United States","Co-Founder at Black Yeti Beverage, Inc.",Chief Brand Officer & Neuromodulation Director  at Mind & Body Treatment and Research Institute,2020–Present,Clinical Psychology,"University of California, Riverside",
"Newport Beach, California, United States",CEO at US Business Funding,"Director of app only division / Small ticket Equipment leasing & Financing at Global Finance Group, Inc.","University of California, Riverside",,"University of California, Riverside",
"San Francisco, California, United States","CEO at Empiric, Inc.",Sales at DAQRI,ArtCenter College of Design,Product Design,"University of California, Riverside",
"Allen, Texas, United States",Co-Founder at TitaniusBots,Customer Representative & Sales II at Bank of America,"University of California, Riverside",Multi/Interdisciplinary Studies,"University of California, Riverside",
"Coppell, Texas, United States",Chief Executive Officer at Kings III Emergency Communications,"President at SoloProtect, A Division of Kings III Emergency Communications",University of Califonia Riverside,Mathmatics,"University of California, Riverside",
"El Segundo, California, United States",Chief Executive Officer at ONYX Motorbikes,Prototyping | Design Technologist | Software Development Engineer  at Amazon Lab126,"University of California, Riverside",Arts,"University of California, Riverside",
"Olympia, Washington, United States",Founder and CEO at Townsend Security,Senior Consultant at Patrick Townsend & Associates,"University of California, Riverside","Sociology, Education","University of California, Riverside",
Los Angeles Metropolitan Area,Founder & CEO at KATSH DIGITAL ID,Co-Founder at LifeNow.TV,"University of California, Riverside","Product Fit and Market Research, I-Corps Program","University of California, Riverside",
San Francisco Bay Area,Head Of Information Technology at Guardant Health,Head Of Information Technology at Credit Karma,"University of California, Riverside",Computer Science,"University of California, Riverside",
"Santa Monica, California, United States",Chief Executive Officer at RadiaBeam Technologies,Accelerator Engineer at SureBeam Corporation,"University of California, Los Angeles",Physics,"University of California, Riverside",
"Los Angeles, California, United States",Supply Chain Manager at VS Tees,Business Consultant at 7-Eleven,University of Southern California - Marshall School of Business,Economics,"University of California, Riverside",
500+ connections,CEO at Krishnan & Associates,Senior Accountant at General Electric (GE),"University of California, Riverside",Business,"University of California, Riverside",
"New York, New York, United States",CEO at Runit Systems,"Co-Founder, President & CEO at Hyrian [An award winning, leading national provider of Recruitment Outsourcing services]",1987–1991,Political Science and Administrative Studies (Business Administration),"University of California, Riverside",
San Francisco Bay Area,Vice President Digital Transformation - Technology Group at QuEST Global,Assc. Managing Director -Technology Group at Accenture,"University of California, Riverside",Political Science,"University of California, Riverside",
Greater Paris Metropolitan Region,Co-Founder at Yuccan Lead,Information Technology Infrastructure Engineer at CMS Francis Lefebvre Avocats,"University of California, Riverside",Business Management,"University of California, Riverside",
"San Francisco, California, United States",Co-Founder & CTO at CloudTrucks,Senior Engineering Manager at Lob,"University of California, Riverside",Computer Science,"University of California, Riverside",
"Greystones, County Wicklow, Ireland",Digital strategy manager at CRH,IT Group services Manager at CRH,Trinity College Dublin,"Business Administration and Management, General","University of California, Riverside",
"Pune, Maharashtra, India",Co-Founder and CEO at Sensing Self Pte Ltd,Founder and CEO at Swipe Technologies Pvt Ltd,"University of California, Riverside","Bio-Nanotechnology, BioScience, Molecular Diagnostics","University of California, Riverside",
"Orange County, California, United States",Director Of Operations at Alleyoop,Retail Compliance Manager - North America at DSV - Global Transport and Logistics,"University of California, Irvine - The Paul Merage School of Business","Logistics, Materials, and Supply Chain Management & Operations","University of California, Riverside",
Greater Madrid Metropolitan Area,Co-Founder at Trucksters,Consultant at BTS,IE University,,"University of California, Riverside",
"Los Angeles, California, United States",Chief Operations Officer at Company 3,"Senior Vice President, Global Business Operations at Deluxe Entertainment Services Group",2001–2003,Emphasis Finance,"University of California, Riverside",
"Riverside, California, United States","Co-Founder at Brand Purpose, LLC","Instructor, Marketing and Business Writing at University of Redlands","University of California, Riverside",Liberal Studies (Chemistry and Psychology),"University of California, Riverside",
"Belo Horizonte, Minas Gerais, Brazil",CEO at MIP CONSTRUTORA,Board Member at MIP ENGENHARIA S/A,IBGC - Instituto Brasileiro de Governança Corporativa,Corporate Governance,"University of California, Riverside",
"Münster, North Rhine-Westphalia, Germany",Founder & COO at BitBurst GmbH,Dualer Student at Saint-Gobain Weber,FOM Hochschule für Oekonomie & Management,Master Business Consulting & Digital Management (MS),"University of California, Riverside",
"Los Angeles, California, United States",Co-Founder at Stealth Startup,Sales Executive at NEXT Trucking,"University of California, Riverside",Psychology,"University of California, Riverside",
"Downey, California, United States",Executive Vice President Of Operations at TBD,Vice President of operations at FiveStar Gourmet Foods,"University of California, Riverside",6 sigma - Black Belt,"University of California, Riverside",
"Santa Monica, California, United States",Director of E-Commerce at JAXXON,Digital Asset Management Coordinator at RPA,General Assembly,UX Design,"University of California, Riverside",
"Newport Beach, California, United States",President & CEO at Vino Vault LLC,Founder/Business Unit Leader at Iron Mountain Entertainment Services,"University of California, Riverside",International Business,"University of California, Riverside",
Los Angeles Metropolitan Area,Chief Operating Officer at IT Retail,Product Manager at IT Retail,"University of California, Riverside",Marketing,"University of California, Riverside",
Greater Chicago Area,"VP, Chief Marketing Officer at DemandTec by Acoustic",Chief Marketing Officer at GrocerKey,1997–2001,Political Science,"University of California, Riverside",
