current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
"Los Angeles, California, United States","Co-Founder at Black Yeti Beverage, Inc.",Chief Brand Officer & Neuromodulation Director  at Mind & Body Treatment and Research Institute,2020–Present,Clinical Psychology,"University of California, Riverside","Black Yeti Beverage, Inc.",Mind & Body Treatment and Research Institute,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Newport Beach, California, United States",CEO at US Business Funding,"Director of app only division / Small ticket Equipment leasing & Financing at Global Finance Group, Inc.","University of California, Riverside",,"University of California, Riverside",US Business Funding,"Global Finance Group, Inc.",541618 Utilities management consulting services,522320 U.S. Central Credit Union,54,52,"Professional, Scientific, and Technical Services",77645.346,Finance and Insurance,33.617009,-117.92944,California,Orange,Newport Beach,06059
"San Francisco, California, United States","CEO at Empiric, Inc.",Sales at DAQRI,ArtCenter College of Design,Product Design,"University of California, Riverside","Empiric, Inc.",DAQRI,621999 Stop smoking clinics,"541511 Web (i.e., Internet) page design services, custom",62,54,Health Care and Social Assistance,76373.049,"Professional, Scientific, and Technical Services",37.779026,-122.419906,California,,San Francisco,06075
"Allen, Texas, United States",Co-Founder at TitaniusBots,Customer Representative & Sales II at Bank of America,"University of California, Riverside",Multi/Interdisciplinary Studies,"University of California, Riverside",TitaniusBots,Bank of America,,522110 State commercial banks,,52,,,Finance and Insurance,33.103174,-96.67055,Texas,Collin,,48085
"Coppell, Texas, United States",Chief Executive Officer at Kings III Emergency Communications,"President at SoloProtect, A Division of Kings III Emergency Communications",University of Califonia Riverside,Mathmatics,"University of California, Riverside",Kings III Emergency Communications,"SoloProtect, A Division of Kings III Emergency Communications",,,,,,,,32.95526,-97.01557,Texas,Dallas,,48113
"El Segundo, California, United States",Chief Executive Officer at ONYX Motorbikes,Prototyping | Design Technologist | Software Development Engineer  at Amazon Lab126,"University of California, Riverside",Arts,"University of California, Riverside",ONYX Motorbikes,Amazon Lab126,,,,,,,,33.917028,-118.415634,California,Los Angeles,,06037
"Olympia, Washington, United States",Founder and CEO at Townsend Security,Senior Consultant at Patrick Townsend & Associates,"University of California, Riverside","Sociology, Education","University of California, Riverside",Townsend Security,Patrick Townsend & Associates,443142 Video tape stores,,44-45,,Retail Trade,56013.266,,47.045102,-122.895008,Washington,Thurston,Olympia,53067
Los Angeles  ,Founder & CEO at KATSH DIGITAL ID,Co-Founder at LifeNow.TV,"University of California, Riverside","Product Fit and Market Research, I-Corps Program","University of California, Riverside",KATSH DIGITAL ID,LifeNow.TV,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
San Francisco Bay ,Head Of Information Technology at Guardant Health,Head Of Information Technology at Credit Karma,"University of California, Riverside",Computer Science,"University of California, Riverside",Guardant Health,Credit Karma,621511 Urinalysis laboratories,522320 U.S. Central Credit Union,62,52,Health Care and Social Assistance,76373.049,Finance and Insurance,37.714029,-122.307794,California,San Mateo,,06081
"Santa Monica, California, United States",Chief Executive Officer at RadiaBeam Technologies,Accelerator Engineer at SureBeam Corporation,"University of California, Los Angeles",Physics,"University of California, Riverside",RadiaBeam Technologies,SureBeam Corporation,443142 Video tape stores,,44-45,,Retail Trade,56013.266,,34.01947,-118.491227,California,Los Angeles,Santa Monica,06037
"Los Angeles, California, United States",Supply Chain Manager at VS Tees,Business Consultant at 7-Eleven,University of Southern California - Marshall School of Business,Economics,"University of California, Riverside",VS Tees,7-Eleven,,533110 Trademark licensing,,53,,,Real Estate and Rental and Leasing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
,CEO at Krishnan & Associates,Senior Accountant at General Electric (GE),"University of California, Riverside",Business,"University of California, Riverside",Krishnan & Associates,General Electric (GE),,,,,,,,,,,,,nan
"New York, New York, United States",CEO at Runit Systems,"Co-Founder, President & CEO at Hyrian [An award winning, leading national provider of Recruitment Outsourcing services]",1987–1991,Political Science and Administrative Studies (Business Administration),"University of California, Riverside",Runit Systems,"Hyrian [An award winning, leading national provider of Recruitment Outsourcing services]",,,,,,,,40.712728,-74.006015,New York,,New York,36061
San Francisco Bay ,Vice President Digital Transformation - Technology Group at QuEST Global,Assc. Managing Director -Technology Group at Accenture,"University of California, Riverside",Political Science,"University of California, Riverside",QuEST Global,Accenture,551112 Public utility holding companies,541330 Traffic engineering consulting services,55,54,Management of Companies and Enterprises,82055.219,"Professional, Scientific, and Technical Services",37.714029,-122.307794,California,San Mateo,,06081
 Paris  ,Co-Founder at Yuccan Lead,Information Technology Infrastructure Engineer at CMS Francis Lefebvre Avocats,"University of California, Riverside",Business Management,"University of California, Riverside",Yuccan Lead,CMS Francis Lefebvre Avocats,,541110 Tax law attorneys' private practices,,54,,,"Professional, Scientific, and Technical Services",48.85889,2.320041,Île-de-France,Paris,,nan
"San Francisco, California, United States",Co-Founder & CTO at CloudTrucks,Senior Engineering Manager at Lob,"University of California, Riverside",Computer Science,"University of California, Riverside",CloudTrucks,Lob,,"454310 Liquefied petroleum gas (LPG) dealers, direct selling",,44-45,,,Retail Trade,37.779026,-122.419906,California,,San Francisco,06075
"Greystones, County Wicklow, Ireland",Digital strategy manager at CRH,IT Group services Manager at CRH,Trinity College Dublin,"Business Administration and Management, General","University of California, Riverside",CRH,CRH,561499 Videoconferencing services,561499 Videoconferencing services,56,56,Administrative and Support and Waste Management and Remediation Services,64366.438,Administrative and Support and Waste Management and Remediation Services,53.14489,-6.063218,,County,,nan
"Pune, Maharashtra, India",Co-Founder and CEO at Sensing Self Pte Ltd,Founder and CEO at Swipe Technologies Pvt Ltd,"University of California, Riverside","Bio-Nanotechnology, BioScience, Molecular Diagnostics","University of California, Riverside",Sensing Self Pte Ltd,Swipe Technologies Pvt Ltd,,,,,,,,18.521428,73.854454,Maharashtra,Pune,Pune,nan
"Orange County, California, United States",Director Of Operations at Alleyoop,Retail Compliance Manager - North America at DSV - Global Transport and Logistics,"University of California, Irvine - The Paul Merage School of Business","Logistics, Materials, and Supply Chain Management & Operations","University of California, Riverside",Alleyoop,DSV - Global Transport and Logistics,,,,,,,,33.750038,-117.870493,California,Orange,,06059
 Madrid  ,Co-Founder at Trucksters,Consultant at BTS,IE University,,"University of California, Riverside",Trucksters,BTS,,485999 Vanpool operation,,48-49,,,Transportation and Warehousing,40.416705,-3.703582,Comunidad de Madrid,Área metropolitana de Madrid y Corredor del,Madrid,nan
"Los Angeles, California, United States",Chief Operations Officer at Company 3,"Senior Vice President, Global Business Operations at Deluxe Entertainment Services Group",2001–2003,Emphasis Finance,"University of California, Riverside",Company 3,Deluxe Entertainment Services Group,561110 Office management services,"541840 Television advertising representatives (i.e., independent of media owners)",56,54,Administrative and Support and Waste Management and Remediation Services,64366.438,"Professional, Scientific, and Technical Services",34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Riverside, California, United States","Co-Founder at Brand Purpose, LLC","Instructor, Marketing and Business Writing at University of Redlands","University of California, Riverside",Liberal Studies (Chemistry and Psychology),"University of California, Riverside","Brand Purpose, LLC",University of Redlands,,611310 Universities,,61,,,Educational Services,33.945941,-117.410244,California,Riverside,Riverside,06065
"Belo Horizonte, Minas Gerais, Brazil",CEO at MIP CONSTRUTORA,Board Member at MIP ENGENHARIA S/A,IBGC - Instituto Brasileiro de Governança Corporativa,Corporate Governance,"University of California, Riverside",MIP CONSTRUTORA,MIP ENGENHARIA S/A,,,,,,,,-19.922732,-43.945095,Minas Gerais,Região Metropolitana de Belo,Belo Horizonte,nan
"Münster, North Rhine-Westphalia, Germany",Founder & COO at BitBurst GmbH,Dualer Student at Saint-Gobain Weber,FOM Hochschule für Oekonomie & Management,Master Business Consulting & Digital Management (MS),"University of California, Riverside",BitBurst GmbH,Saint-Gobain Weber,,"327390 Ties, concrete, railroad, manufacturing",,31-33,,,Manufacturing,51.96251,7.625188,Nordrhein-Westfalen,,Münster,nan
"Los Angeles, California, United States",Co-Founder at Stealth Startup,Sales Executive at NEXT Trucking,"University of California, Riverside",Psychology,"University of California, Riverside",Stealth Startup,NEXT Trucking,,"493110 Warehousing and storage, general merchandise",,48-49,,,Transportation and Warehousing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
